Nbr threads,Time
<<<<<<< HEAD
2,0.02
2,0.02
2,0.02
2,0.01
2,0.02
3,0.02
3,0.02
3,0.02
3,0.02
3,0.02
4,0.03
4,0.03
4,0.03
4,0.03
4,0.03
5,0.03
5,0.03
5,0.03
5,0.03
5,0.03
6,0.04
6,0.04
6,0.04
6,0.04
6,0.04
7,0.05
7,0.05
7,0.05
7,0.05
7,0.05
8,0.06
8,0.05
8,0.05
8,0.05
8,0.05
=======
2,0.00
2,0.00
2,0.00
2,0.00
2,0.00
3,0.00
3,0.00
3,0.00
3,0.00
3,0.00
4,0.00
4,0.00
4,0.00
4,0.00
4,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
6,0.00
6,0.00
6,0.00
6,0.00
6,0.00
7,0.00
7,0.00
7,0.00
7,0.00
7,0.00
8,0.00
8,0.00
8,0.00
8,0.00
8,0.00
9,0.00
9,0.00
9,0.00
9,0.00
9,0.00
10,0.00
10,0.00
10,0.00
10,0.00
10,0.00
11,0.00
11,0.00
11,0.00
11,0.00
11,0.00
12,0.00
12,0.00
12,0.00
12,0.00
12,0.00
13,0.00
13,0.00
13,0.00
13,0.00
13,0.00
14,0.00
14,0.00
14,0.00
14,0.00
14,0.00
15,0.00
15,0.00
15,0.00
15,0.00
15,0.00
16,0.00
16,0.00
16,0.00
16,0.00
16,0.00
17,0.00
17,0.00
17,0.00
17,0.00
17,0.00
18,0.00
18,0.00
18,0.00
18,0.00
18,0.00
19,0.00
19,0.00
19,0.00
19,0.00
19,0.01
20,0.01
20,0.01
20,0.01
20,0.00
20,0.01
21,0.01
21,0.01
21,0.01
21,0.01
21,0.01
22,0.01
22,0.01
22,0.01
22,0.01
22,0.01
23,0.01
23,0.01
23,0.01
23,0.01
23,0.01
24,0.01
24,0.01
24,0.01
24,0.01
24,0.01
25,0.01
25,0.01
25,0.01
25,0.01
25,0.01
26,0.01
26,0.01
26,0.01
26,0.01
26,0.01
27,0.01
27,0.01
27,0.01
27,0.01
27,0.01
28,0.01
28,0.01
28,0.01
28,0.01
28,0.01
29,0.01
29,0.01
29,0.01
29,0.01
29,0.01
30,0.01
30,0.01
30,0.01
30,0.01
30,0.01
31,0.01
31,0.01
31,0.01
31,0.01
31,0.01
32,0.01
32,0.01
32,0.01
32,0.01
32,0.01
>>>>>>> bb2f1dc2d1ab7b257e16e3533a608ffc4c90c3ef
